,job_title,company_name,job_type,work_mode
238,Accounting Clerk,"6th of October, Giza, Egypt",Full Time,On-site
239,Quality Assurance Assistant Manager,"Ain Sokhna, Suez, Egypt",Full Time,On-site
240,Purchasing Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
241,CI Assistant Manager,"Qalubia, Egypt",Full Time,On-site
242,Senior Budget,"Obour City, Cairo, Egypt",Full Time,On-site
243,Accounts Receivable Senior Accountant,"Obour City, Cairo, Egypt",Full Time,On-site
244,Quality Assurance Manager - Garment Section,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
245,Senior Material Planning Engineer,"Abu Rawash, Giza, Egypt",Full Time,On-site
246,Demand & Supply Planning Manager,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
247,Senior Media Buyer,"Agami, Alexandria, Egypt",Full Time,On-site
248,Cost Accountant.,"Maadi, Cairo, Egypt",Full Time,On-site
249,Assistant Financial Analyst,"Maadi, Cairo, Egypt",Full Time,On-site
250,Junior Accountant,"Cairo, Egypt",Full Time,On-site
251,Hotel Reservations Agent,"Garden City, Cairo, Egypt",Full Time,On-site
252,Factory Manager – Coating Line (Non-Stick Cookware),"Badr City, Cairo, Egypt",Full Time,On-site
253,Accountant / HR,"Alexandria, Egypt",Full Time,On-site
254,Supply Chain Manager,"Cairo, Egypt",Full Time,On-site
255,Fresh Accounting Graduate - Alexandria,"Smouha, Alexandria, Egypt",Full Time,On-site
256,Senior Accountant,"Haram, Giza, Egypt",Full Time,On-site
257,Internal Auditor,"New Cairo, Cairo, Egypt",Full Time,On-site
258,Senior Cost Accountant (Manufacturing Industry),"Obour City, Cairo, Egypt",Full Time,On-site
259,Warehouse Manager,"Manial, Cairo, Egypt",Full Time,On-site
260,Personnel Specialist,"Bourj Alarab, Alexandria, Egypt",Full Time,On-site
261,Production Engineer,"Obour City, Cairo, Egypt",Full Time,On-site
262,Logistics CO Ordinator,"Qalyub, Qalubia, Egypt",Full Time,On-site
263,Media Buyer,"Smouha, Alexandria, Egypt",Full Time,On-site
264,Business Analysis,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
265,Administrative Assistant,"6th of October, Giza, Egypt",Full Time,On-site
266,Media Buyer,"New Cairo, Cairo, Egypt",Full Time,Hybrid
267,Marketing Specialist,"Nasr City, Cairo, Egypt",Full Time,On-site
268,Cost Control Engineer,"Nasr City, Cairo, Egypt",Full Time,On-site
269,Product Manager,"Maadi, Cairo, Egypt",Full Time,Hybrid
270,MCN KOS Operation Specialist (Account Growth & Management),"Nasr City, Cairo, Egypt",Full Time,On-site
271,Production Manager,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
272,Sales Analyst,"New Cairo, Cairo, Egypt",Full Time,On-site
273,Logistics Specialist,"Obour City, Cairo, Egypt",Full Time,On-site
274,R&D manager (Research And Development),"Alsadat City, Monufya, Egypt",Full Time,On-site
275,Senior Accounts Receivable Accountant,"Sheraton, Cairo, Egypt",Full Time,On-site
276,Chinese Interpreter Specialist (Quality Department),"6th of October, Giza, Egypt",Full Time,On-site
277,HR Operations,"Giza, Giza, Egypt",Full Time,On-site
278,IOT Engineer,"Hadayek Alahram, Giza, Egypt",Full Time,On-site
279,Industrial Engineer,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
280,Production Engineer,"Sharqia, Egypt",Full Time,On-site
281,Call Center Agent,"10th of Ramadan City, Cairo, Egypt",Full Time,Remote
282,Warehouse Keeper,"Alexandria, Egypt",Full Time,On-site
283,Tender Engineer / MEP,"Nasr City, Cairo, Egypt",Full Time,On-site
284,HR Internship,"New Cairo, Cairo, Egypt",Internship,On-site
285,Senior Payroll and Personnel,"Sheikh Zayed, Giza, Egypt",Full Time,On-site
286,Accountant,"Dakahlia, Egypt",Full Time,On-site
287,Continuous Improvement Section Head,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
288,Call Center Agent,"Obour City, Cairo, Egypt",Full Time,On-site
289,Purchasing Officer,"Cairo, Egypt",Full Time,On-site
290,Planning Coordinator,"10th of Ramadan City, Sharqia, Egypt",Full Time,On-site
291,Buyer ( Baby Wear ),"Obour City, Cairo, Egypt",Full Time,On-site
292,Warehouse Supervisor (Shipping Company),"Obour City, Cairo, Egypt",Full Time,On-site
293,"Data Center Engineer/Technician (Saudi National Only), Data Center Operations, AWS","Riyadh, Saudi Arabia",Full Time,N/A
294,Data Analysts with Data Modeling  (On-Prem & Cloud),"Dubai, United Arab Emirates",Freelance / Project,N/A
295,Data Manager,"Dubai, United Arab Emirates",Freelance / Project,N/A
296,Data Engineer,"Dubai, United Arab Emirates",Freelance / Project,N/A
297,Data Entry Assistant,"Dubai, United Arab Emirates",Full Time,N/A
298,Workforce Management (WFM) Senior Specialist..,"Maadi, Cairo, Egypt",Full Time,On-site
299,Nursery Receptionist,"New Cairo, Cairo, Egypt",Full Time,On-site
300,Application Engineer – HVAC Data Center,"Riyadh, Saudi Arabia",Full Time,N/A
301,Data Consultant,"Riyadh, Saudi Arabia",Full Time,N/A
302,Application Engineer – HVAC Data Center,"Riyadh, Saudi Arabia",Part Time,N/A
303,Digital Media Buyer,"Mohandessin, Giza, Egypt",Full Time,On-site
304,Data Analyst (0 Experience Required),"Riyadh, Saudi Arabia",Part Time,N/A
305,Automotive Spare Parts Manager,"6th of October, Giza, Egypt",Full Time,On-site
306,Key Account Manager,"Heliopolis, Cairo, Egypt",Full Time,On-site
307,Data Center Lead Account Manager MEA,"Dubai, United Arab Emirates",Full Time,N/A
308,Data Scientist,"Riyadh, Saudi Arabia",Full Time,N/A
309,Junior Accountant,"Maadi, Cairo, Egypt",Full Time,On-site
310,Data Analysis Specialist,"Riyadh, Saudi Arabia",Full Time,N/A
311,Media Buyer,"Cairo, Egypt",Full Time,On-site
312,Sales Coordinator,"6th of October, Giza, Egypt",Full Time,On-site
313,Quality manager,"Qaha, Qalubia, Egypt",Full Time,On-site
314,Storekeeper (Shipping & Export Company),"Obour City, Cairo, Egypt",Full Time,On-site
315,Senior QC DTP Specialist,"Maadi, Cairo, Egypt",Full Time,Hybrid
316,Procurement Team Leader,"New Cairo, Cairo, Egypt",Full Time,On-site
317,Logistics Manager,"Cairo, Egypt",Full Time,On-site
318,Key Account Manager,"New Cairo, Cairo, Egypt",Full Time,Hybrid
319,Warehouse Manager,"10th of Ramadan City, Cairo, Egypt",Full Time,On-site
320,Material and planning engineer,"6th of October, Giza, Egypt",Full Time,On-site
321,Quality Assurance Specialist,"Giza, Egypt",Full Time,On-site
322,Inventory Controller,"Shubra, Cairo, Egypt",Full Time,On-site
